email_id,subject,body,sender,label
1,"Urgent: Your account has been compromised","Dear Customer, We detected suspicious activity on your account. Click here immediately to verify your identity: http://secure-bank-login.tk/verify. Failure to act within 24 hours will result in account suspension.","security@bankofamerica-secure.tk",phishing
2,"Meeting tomorrow at 3pm","Hi team, Just a reminder about our project meeting tomorrow at 3pm in conference room B. Please bring your progress reports.","john.smith@company.com",legitimate
3,"You've won $1,000,000!","Congratulations! You have been selected as our lucky winner. To claim your prize, send us your bank details and social security number immediately.","lottery@winner-claims.ru",phishing
4,"Q3 Report attached","Please find attached the Q3 financial report. Let me know if you have any questions.","finance@company.com",legitimate
5,"URGENT: Password expires today","Your email password expires TODAY! Click this link to reset: http://mail-google-secure.xyz/reset. Act now!","admin@google-mail-security.xyz",phishing
6,"Lunch plans?","Hey, want to grab lunch today? There's a new Thai place that opened up.","sarah@company.com",legitimate
7,"Invoice #INV-29481 attached","Dear Sir, Please find attached invoice for services rendered. Payment due within 30 days.","billing@supplier.com",legitimate
8,"Your PayPal account is limited","We've noticed unusual activity. Your account access is limited. Verify now: http://paypa1-secure.com/verify","service@paypa1-secure.com",phishing
9,"RE: Project deadline","Thanks for the update. I'll have my part ready by Friday.","mike@company.com",legitimate
10,"Claim your free iPhone 15!","You've been selected! Get your FREE iPhone 15 Pro Max. Just pay $1 shipping. Limited time offer!!!","deals@free-iphone-winner.net",phishing
11,"Weekly newsletter","Here's your weekly tech news roundup. Top stories: AI developments, new smartphone releases...","newsletter@technews.com",legitimate
12,"Your Amazon order #123-456","Your order has shipped! Track your package here: www.amazon.com/track/123456","ship-confirm@amazon.com",legitimate
13,"ALERT: Unusual sign-in activity","Someone signed into your Microsoft account from Russia. If this wasn't you, click here: http://microsoft-secure-login.tk","security@micros0ft-alert.tk",phishing
14,"Happy Birthday!","Happy birthday! Hope you have a great day! See you at the party tonight.","friend@gmail.com",legitimate
15,"IRS Tax Refund Notification","You are eligible for tax refund of $4,521.00. Submit your details here to claim: http://irs-refund-claim.com/submit","refund@irs-gov-refund.com",phishing
16,"Conference registration confirmed","Thank you for registering for TechCon 2024. Your confirmation number is TC2024-1234.","registration@techcon.com",legitimate
17,"Verify your Apple ID","Your Apple ID was used to sign in to iCloud. If you did not do this, verify immediately: http://appleid-verify.net","noreply@app1e-secure.net",phishing
18,"Job application received","Thank you for applying to the Software Engineer position. We will review your application and contact you soon.","hr@bigtech.com",legitimate
19,"Your Netflix account is on hold","Payment failed. Update your payment info now to continue watching: http://netf1ix-billing.com/update","billing@netf1ix-account.com",phishing
20,"Team building event next month","Hi everyone, we're planning a team building event for next month. Please fill out the survey to vote on activities.","events@company.com",legitimate
21,"Congratulations on your inheritance!","A deceased relative left you $5.7 million. Contact our law firm immediately with your personal details.","lawyer@inheritance-claims.ng",phishing
22,"Code review requested","Please review my PR #234 when you get a chance. It's the new authentication module.","dev@company.com",legitimate
23,"Bitcoin investment opportunity","Double your Bitcoin in 24 hours! Guaranteed returns! Send BTC to this wallet now!","invest@crypto-profits.ru",phishing
24,"Dentist appointment reminder","This is a reminder of your dental appointment on Thursday at 2:00 PM.","appointments@dentalclinic.com",legitimate
25,"Your DHL package is waiting","Unable to deliver package. Pay $2.99 customs fee here: http://dhl-delivery-fee.com/pay","tracking@dhl-express-delivery.tk",phishing
26,"Book club meeting","Don't forget - book club meets this Saturday at 4pm. We're discussing 'The Great Gatsby'.","bookclub@library.org",legitimate
27,"FINAL WARNING: Account suspension","This is your FINAL WARNING. Your bank account will be closed. Verify identity NOW: http://bank-verify-urgent.com","urgent@bank-security-alert.xyz",phishing
28,"Project update","Quick update: we're on track for the launch. QA testing starts Monday.","pm@company.com",legitimate
29,"Exclusive offer just for you","Dear Valued Customer, as a loyal member, you've been selected for an exclusive credit card offer with 0% APR.","offers@creditcard-exclusive.biz",phishing
30,"Gym membership renewal","Your annual gym membership expires next month. Renew online or at the front desk.","membership@fitnesscenter.com",legitimate
31,"Your Dropbox is full","Your storage is 99% full. Upgrade now for more space.","noreply@dropbox.com",legitimate
32,"Urgent wire transfer needed","I need you to process a wire transfer immediately. I'm in a meeting. Send $50,000 to this account.","ceo@company-secure.com",phishing
33,"Recipe: Grandma's cookies","Here's that cookie recipe you asked for! Let me know how they turn out.","mom@family.com",legitimate
34,"Your computer is infected!","WARNING: 47 viruses detected! Download our antivirus immediately: http://virus-cleaner-pro.com/download","alert@antivirus-warning.net",phishing
35,"Sprint review meeting notes","Attached are the notes from today's sprint review. Action items highlighted in yellow.","scrum@company.com",legitimate
36,"WhatsApp: Verify your number","Your WhatsApp code is 482-931. Never share this code.","whatsapp@whatsapp.com",legitimate
37,"You have a secret admirer!","Someone likes you! Click here to find out who: http://secret-admirer-reveal.com","love@dating-secret.com",phishing
38,"Flight itinerary","Your flight confirmation for NYC trip: UA 1234, departing 8:00 AM.","reservations@united.com",legitimate
39,"LinkedIn: New connection request","John Doe wants to connect with you on LinkedIn.","notifications@linkedin.com",legitimate
40,"WINNER NOTIFICATION","You have won 500,000 EUROS in the European Lottery! Send passport copy to claim.","claims@euro-lottery-winner.eu",phishing
41,"PTO request approved","Your PTO request for Dec 23-27 has been approved. Enjoy your vacation!","hr@company.com",legitimate
42,"Your Wells Fargo statement","Your monthly statement is ready. Log in to view: wellsfargo.com","statements@wellsfargo.com",legitimate
43,"Reset your Facebook password","We received a request to reset your Facebook password. If you didn't request this, ignore this email.","security@facebookmail.com",legitimate
