event_id,timestamp,email_id,subject,body,sender,original_label,classification,confidence,mitre_tactic,mitre_technique_id,mitre_technique_name,severity,has_suspicious_link,has_urgency,has_credential_request,classified_at
f044f3e1-226e-40b2-98e2-175e908442dc,2026-02-11T16:24:58.175796,5,URGENT: Password expires today,Your email password expires TODAY! Click this link to reset: http://mail-google-secure.xyz/reset. Act now!,admin@google-mail-security.xyz,phishing,phishing,0.6187844559964808,Credential Access,T1598.003,Phishing for Information: Spearphishing Link,critical,True,True,True,2026-02-11T16:34:59.992455
85c4b756-1300-40f5-b014-ea597910e5c1,2026-02-11T16:24:58.226732,6,Lunch plans?,"Hey, want to grab lunch today? There's a new Thai place that opened up.",sarah@company.com,legitimate,legitimate,0.7108922199614889,,,Legitimate Email,none,False,True,False,2026-02-11T16:34:59.993989
81fc4216-45c3-4c80-89b6-dc72b3694304,2026-02-11T16:24:58.379450,9,RE: Project deadline,Thanks for the update. I'll have my part ready by Friday.,mike@company.com,legitimate,legitimate,0.7231583419564154,,,Legitimate Email,none,False,False,False,2026-02-11T16:34:59.994733
8735bee2-ce8a-4d2e-b77e-34877e26b6c0,2026-02-11T16:24:58.431571,10,Claim your free iPhone 15!,You've been selected! Get your FREE iPhone 15 Pro Max. Just pay $1 shipping. Limited time offer!!!,deals@free-iphone-winner.net,phishing,phishing,0.5852864490192717,Initial Access,T1566,Phishing,medium,False,False,False,2026-02-11T16:34:59.995480
1b649ca0-decc-423f-903d-bbcc8041fb1d,2026-02-11T16:24:58.484250,11,Weekly newsletter,"Here's your weekly tech news roundup. Top stories: AI developments, new smartphone releases...",newsletter@technews.com,legitimate,legitimate,0.7522405900241349,,,Legitimate Email,none,False,False,False,2026-02-11T16:34:59.996235
f5d046b7-4b9c-4045-845a-fb6d429272b2,2026-02-11T16:24:58.586238,13,ALERT: Unusual sign-in activity,"Someone signed into your Microsoft account from Russia. If this wasn't you, click here: http://microsoft-secure-login.tk",security@micros0ft-alert.tk,phishing,phishing,0.6614327677259101,Credential Access,T1598.003,Phishing for Information: Spearphishing Link,critical,True,False,True,2026-02-11T16:34:59.996967
6503e816-90e0-4e85-8d16-c3eaed126d84,2026-02-11T16:24:59.045249,22,Code review requested,Please review my PR #234 when you get a chance. It's the new authentication module.,dev@company.com,legitimate,legitimate,0.7297316058677688,,,Legitimate Email,none,False,False,False,2026-02-11T16:34:59.998189
be37809e-4ea0-42ed-a2d3-f7712d7232e4,2026-02-11T16:24:59.096338,23,Bitcoin investment opportunity,Double your Bitcoin in 24 hours! Guaranteed returns! Send BTC to this wallet now!,invest@crypto-profits.ru,phishing,phishing,0.5902185888128719,Initial Access,T1566,Phishing,medium,False,True,False,2026-02-11T16:34:59.998944
90a1920b-fda9-4759-a167-ff8aa270689d,2026-02-11T16:24:59.355613,28,Project update,Quick update: we're on track for the launch. QA testing starts Monday.,pm@company.com,legitimate,legitimate,0.6530710969999312,,,Legitimate Email,none,False,False,False,2026-02-11T16:34:59.999612
ff7e5108-0773-4811-ad36-adb684087511,2026-02-11T16:24:59.510573,31,Your Dropbox is full,Your storage is 99% full. Upgrade now for more space.,noreply@dropbox.com,legitimate,legitimate,0.6076101806072669,,,Legitimate Email,none,False,True,False,2026-02-11T16:35:00.000336
c9649984-7bfa-42ff-9770-80a2a9777ed1,2026-02-11T16:25:00.023756,41,PTO request approved,Your PTO request for Dec 23-27 has been approved. Enjoy your vacation!,hr@company.com,legitimate,legitimate,0.704702947721299,,,Legitimate Email,none,False,False,False,2026-02-11T16:35:00.001025
51994205-7d67-4e6a-8a4d-6b9c5c0c1b05,2026-02-11T16:25:00.074640,42,Your Wells Fargo statement,Your monthly statement is ready. Log in to view: wellsfargo.com,statements@wellsfargo.com,legitimate,legitimate,0.6173397933547147,,,Legitimate Email,none,False,False,False,2026-02-11T16:35:00.001690
b0f61a7d-63aa-45ed-a410-57c4ef0d668e,2026-02-11T16:25:00.429553,49,Workout class confirmed,You're signed up for yoga class on Tuesday at 6 PM.,classes@yogastudio.com,legitimate,legitimate,0.6893800099386815,,,Legitimate Email,none,False,False,False,2026-02-11T16:35:00.002342
cc6efcbc-465c-4263-ba95-66488a257150,2026-02-11T16:25:00.838618,57,Software update available,A new update is available for your iPhone. Go to Settings > General > Software Update.,noreply@apple.com,legitimate,legitimate,0.6876847463150609,,,Legitimate Email,none,False,False,False,2026-02-11T16:35:00.002975
4cd611f7-4c3a-4e04-b77d-f6a5b5a67be3,2026-02-11T16:25:00.941328,59,You've received a fax!,Important fax document waiting. Download here: http://efax-document.com/view,fax@efax-delivery.net,phishing,phishing,0.6863256501642228,Initial Access,T1566,Phishing,medium,False,False,False,2026-02-11T16:35:00.003617
f84d1f10-c2cf-4f33-bd77-a284df23f99c,2026-02-11T16:25:01.094641,62,Urgent: Confirm wire transfer,"Please confirm the wire transfer of $75,000 to the vendor account immediately.",cfo@company-finance.biz,phishing,phishing,0.6950743392721773,Credential Access,T1598.003,Phishing for Information: Spearphishing Link,critical,False,True,True,2026-02-11T16:35:00.004346
682067ab-a9a4-47b3-b557-ecc1738c1c70,2026-02-11T16:25:01.145583,63,Recipe club newsletter,This week's featured recipe: homemade pasta from scratch!,newsletter@recipes.com,legitimate,legitimate,0.717238187950141,,,Legitimate Email,none,False,False,False,2026-02-11T16:35:00.005009
5777c80f-723e-4c37-8a64-6a4516ba3857,2026-02-11T16:25:01.300060,66,Pet grooming appointment,Reminder: Max's grooming appointment is Thursday at 11 AM.,appointments@petgroomer.com,legitimate,legitimate,0.7018877075213943,,,Legitimate Email,none,False,False,False,2026-02-11T16:35:00.005629
a107c1a6-205a-4c60-9675-0b4e9d409b10,2026-02-11T16:25:01.404330,68,Concert tickets confirmed,Your tickets for Taylor Swift concert on March 15 are confirmed. E-tickets attached.,tickets@ticketmaster.com,legitimate,legitimate,0.7122666150610042,,,Legitimate Email,none,False,False,False,2026-02-11T16:35:00.006282
fcc29709-db43-4844-94c3-f01b09ceeb30,2026-02-11T16:25:01.507624,70,You've been selected for a survey,Complete this 5-minute survey about your recent hotel stay for a chance to win $500!,surveys@hotel-feedback.biz,phishing,phishing,0.6154859249563087,Initial Access,T1566,Phishing,medium,False,False,False,2026-02-11T16:35:00.006932
4ee4d812-ad96-4013-8090-619d49225ac1,2026-02-11T16:25:01.609856,72,Your loan is pre-approved!,"Congratulations! You're pre-approved for $50,000 personal loan. Bad credit OK! Apply: http://easy-loans-approve.com",loans@fast-approval-loans.net,phishing,phishing,0.647444262167402,Initial Access,T1566,Phishing,medium,False,False,False,2026-02-11T16:35:00.007611
